score,language,counter,total_counter,normalized
-0.96,de,1,1328.0,0.0007530120481927711
-0.95,de,12,1328.0,0.009036144578313253
-0.94,de,1,1328.0,0.0007530120481927711
-0.92,de,4,1328.0,0.0030120481927710845
-0.91,de,29,1328.0,0.021837349397590362
-0.9,de,1,1328.0,0.0007530120481927711
-0.89,de,2,1328.0,0.0015060240963855422
-0.87,de,2,1328.0,0.0015060240963855422
-0.86,de,6,1328.0,0.004518072289156626
-0.85,de,6,1328.0,0.004518072289156626
-0.84,de,6,1328.0,0.004518072289156626
-0.83,de,87,1328.0,0.06551204819277108
-0.8,de,1,1328.0,0.0007530120481927711
-0.78,de,4,1328.0,0.0030120481927710845
-0.77,de,2,1328.0,0.0015060240963855422
-0.75,de,2,1328.0,0.0015060240963855422
-0.72,de,1,1328.0,0.0007530120481927711
-0.71,de,2,1328.0,0.0015060240963855422
-0.7,de,1,1328.0,0.0007530120481927711
-0.69,de,1,1328.0,0.0007530120481927711
-0.68,de,5,1328.0,0.0037650602409638554
-0.67,de,4,1328.0,0.0030120481927710845
-0.66,de,5,1328.0,0.0037650602409638554
-0.65,de,3,1328.0,0.002259036144578313
-0.64,de,35,1328.0,0.02635542168674699
-0.63,de,14,1328.0,0.010542168674698794
-0.62,de,1,1328.0,0.0007530120481927711
-0.6,de,286,1328.0,0.21536144578313254
-0.56,de,4,1328.0,0.0030120481927710845
-0.53,de,1,1328.0,0.0007530120481927711
-0.51,de,1,1328.0,0.0007530120481927711
-0.44,de,1,1328.0,0.0007530120481927711
-0.42,de,6,1328.0,0.004518072289156626
-0.38,de,1,1328.0,0.0007530120481927711
-0.36,de,2,1328.0,0.0015060240963855422
-0.34,de,1,1328.0,0.0007530120481927711
-0.32,de,2,1328.0,0.0015060240963855422
-0.3,de,1,1328.0,0.0007530120481927711
-0.25,de,8,1328.0,0.006024096385542169
-0.24,de,3,1328.0,0.002259036144578313
-0.23,de,1,1328.0,0.0007530120481927711
-0.22,de,2,1328.0,0.0015060240963855422
-0.18,de,6,1328.0,0.004518072289156626
-0.15,de,1,1328.0,0.0007530120481927711
-0.1,de,13,1328.0,0.009789156626506024
-0.08,de,3,1328.0,0.002259036144578313
0.0,de,698,1328.0,0.5256024096385542
0.1,de,2,1328.0,0.0015060240963855422
0.13,de,1,1328.0,0.0007530120481927711
0.2,de,1,1328.0,0.0007530120481927711
0.23,de,1,1328.0,0.0007530120481927711
0.27,de,2,1328.0,0.0015060240963855422
0.38,de,1,1328.0,0.0007530120481927711
0.42,de,1,1328.0,0.0007530120481927711
0.43,de,1,1328.0,0.0007530120481927711
0.44,de,3,1328.0,0.002259036144578313
0.48,de,1,1328.0,0.0007530120481927711
0.49,de,3,1328.0,0.002259036144578313
0.53,de,1,1328.0,0.0007530120481927711
0.54,de,10,1328.0,0.007530120481927711
0.57,de,2,1328.0,0.0015060240963855422
0.59,de,1,1328.0,0.0007530120481927711
0.6,de,2,1328.0,0.0015060240963855422
0.62,de,2,1328.0,0.0015060240963855422
0.64,de,1,1328.0,0.0007530120481927711
0.65,de,1,1328.0,0.0007530120481927711
0.66,de,2,1328.0,0.0015060240963855422
0.67,de,1,1328.0,0.0007530120481927711
0.68,de,1,1328.0,0.0007530120481927711
0.75,de,1,1328.0,0.0007530120481927711
0.78,de,1,1328.0,0.0007530120481927711
0.83,de,1,1328.0,0.0007530120481927711
0.84,de,1,1328.0,0.0007530120481927711
-0.95,es,1,3209.0,0.0003116235587410408
-0.93,es,1,3209.0,0.0003116235587410408
-0.86,es,4,3209.0,0.0012464942349641633
-0.85,es,1,3209.0,0.0003116235587410408
-0.83,es,1,3209.0,0.0003116235587410408
-0.81,es,2,3209.0,0.0006232471174820816
-0.8,es,2,3209.0,0.0006232471174820816
-0.79,es,2,3209.0,0.0006232471174820816
-0.78,es,4,3209.0,0.0012464942349641633
-0.77,es,1,3209.0,0.0003116235587410408
-0.76,es,2,3209.0,0.0006232471174820816
-0.75,es,4,3209.0,0.0012464942349641633
-0.74,es,3,3209.0,0.0009348706762231225
-0.72,es,2,3209.0,0.0006232471174820816
-0.71,es,2,3209.0,0.0006232471174820816
-0.7,es,10,3209.0,0.0031162355874104083
-0.68,es,6,3209.0,0.001869741352446245
-0.65,es,2,3209.0,0.0006232471174820816
-0.64,es,1,3209.0,0.0003116235587410408
-0.63,es,3,3209.0,0.0009348706762231225
-0.62,es,6,3209.0,0.001869741352446245
-0.61,es,5,3209.0,0.0015581177937052041
-0.6,es,20,3209.0,0.0062324711748208165
-0.57,es,9,3209.0,0.0028046120286693674
-0.56,es,51,3209.0,0.015892801495793082
-0.54,es,2,3209.0,0.0006232471174820816
-0.53,es,29,3209.0,0.009037083203490184
-0.52,es,3,3209.0,0.0009348706762231225
-0.51,es,2,3209.0,0.0006232471174820816
-0.5,es,1,3209.0,0.0003116235587410408
-0.49,es,4,3209.0,0.0012464942349641633
-0.48,es,2,3209.0,0.0006232471174820816
-0.47,es,8,3209.0,0.0024929884699283265
-0.45,es,5,3209.0,0.0015581177937052041
-0.44,es,2,3209.0,0.0006232471174820816
-0.43,es,1,3209.0,0.0003116235587410408
-0.42,es,4,3209.0,0.0012464942349641633
-0.41,es,4,3209.0,0.0012464942349641633
-0.4,es,3,3209.0,0.0009348706762231225
-0.38,es,1,3209.0,0.0003116235587410408
-0.37,es,6,3209.0,0.001869741352446245
-0.36,es,39,3209.0,0.012153318790900591
-0.32,es,3,3209.0,0.0009348706762231225
-0.3,es,278,3209.0,0.08663134933000935
-0.27,es,3,3209.0,0.0009348706762231225
-0.25,es,1,3209.0,0.0003116235587410408
-0.24,es,1,3209.0,0.0003116235587410408
-0.23,es,2,3209.0,0.0006232471174820816
-0.21,es,1,3209.0,0.0003116235587410408
-0.2,es,1,3209.0,0.0003116235587410408
-0.15,es,3,3209.0,0.0009348706762231225
-0.13,es,3,3209.0,0.0009348706762231225
-0.1,es,4,3209.0,0.0012464942349641633
-0.08,es,1,3209.0,0.0003116235587410408
0.0,es,2313,3209.0,0.7207852913680274
0.03,es,3,3209.0,0.0009348706762231225
0.05,es,16,3209.0,0.004985976939856653
0.08,es,2,3209.0,0.0006232471174820816
0.1,es,2,3209.0,0.0006232471174820816
0.13,es,5,3209.0,0.0015581177937052041
0.14,es,1,3209.0,0.0003116235587410408
0.15,es,2,3209.0,0.0006232471174820816
0.18,es,4,3209.0,0.0012464942349641633
0.2,es,3,3209.0,0.0009348706762231225
0.23,es,1,3209.0,0.0003116235587410408
0.25,es,2,3209.0,0.0006232471174820816
0.27,es,1,3209.0,0.0003116235587410408
0.3,es,1,3209.0,0.0003116235587410408
0.31,es,1,3209.0,0.0003116235587410408
0.32,es,13,3209.0,0.0040511062636335304
0.33,es,1,3209.0,0.0003116235587410408
0.34,es,95,3209.0,0.029604238080398877
0.36,es,4,3209.0,0.0012464942349641633
0.38,es,4,3209.0,0.0012464942349641633
0.4,es,12,3209.0,0.00373948270489249
0.41,es,1,3209.0,0.0003116235587410408
0.42,es,13,3209.0,0.0040511062636335304
0.44,es,3,3209.0,0.0009348706762231225
0.45,es,1,3209.0,0.0003116235587410408
0.46,es,3,3209.0,0.0009348706762231225
0.48,es,7,3209.0,0.0021813649111872857
0.49,es,17,3209.0,0.005297600498597694
0.51,es,4,3209.0,0.0012464942349641633
0.53,es,2,3209.0,0.0006232471174820816
0.54,es,22,3209.0,0.006855718292302898
0.55,es,3,3209.0,0.0009348706762231225
0.56,es,1,3209.0,0.0003116235587410408
0.57,es,1,3209.0,0.0003116235587410408
0.58,es,3,3209.0,0.0009348706762231225
0.59,es,8,3209.0,0.0024929884699283265
0.6,es,1,3209.0,0.0003116235587410408
0.61,es,14,3209.0,0.004362729822374571
0.62,es,3,3209.0,0.0009348706762231225
0.64,es,5,3209.0,0.0015581177937052041
0.65,es,11,3209.0,0.003427859146151449
0.66,es,1,3209.0,0.0003116235587410408
0.67,es,2,3209.0,0.0006232471174820816
0.68,es,2,3209.0,0.0006232471174820816
0.71,es,4,3209.0,0.0012464942349641633
0.72,es,3,3209.0,0.0009348706762231225
0.73,es,1,3209.0,0.0003116235587410408
0.74,es,2,3209.0,0.0006232471174820816
0.75,es,4,3209.0,0.0012464942349641633
0.76,es,2,3209.0,0.0006232471174820816
0.77,es,1,3209.0,0.0003116235587410408
0.79,es,1,3209.0,0.0003116235587410408
0.81,es,2,3209.0,0.0006232471174820816
0.82,es,2,3209.0,0.0006232471174820816
0.83,es,3,3209.0,0.0009348706762231225
0.84,es,4,3209.0,0.0012464942349641633
0.86,es,2,3209.0,0.0006232471174820816
0.88,es,1,3209.0,0.0003116235587410408
0.93,es,1,3209.0,0.0003116235587410408
-0.93,fr,1,1677.0,0.0005963029218843172
-0.88,fr,1,1677.0,0.0005963029218843172
-0.85,fr,1,1677.0,0.0005963029218843172
-0.82,fr,1,1677.0,0.0005963029218843172
-0.78,fr,2,1677.0,0.0011926058437686344
-0.76,fr,1,1677.0,0.0005963029218843172
-0.74,fr,1,1677.0,0.0005963029218843172
-0.71,fr,2,1677.0,0.0011926058437686344
-0.68,fr,1,1677.0,0.0005963029218843172
-0.67,fr,1,1677.0,0.0005963029218843172
-0.66,fr,1,1677.0,0.0005963029218843172
-0.65,fr,9,1677.0,0.005366726296958855
-0.64,fr,3,1677.0,0.0017889087656529517
-0.62,fr,1,1677.0,0.0005963029218843172
-0.6,fr,9,1677.0,0.005366726296958855
-0.56,fr,5,1677.0,0.0029815146094215863
-0.54,fr,1,1677.0,0.0005963029218843172
-0.52,fr,2,1677.0,0.0011926058437686344
-0.51,fr,1,1677.0,0.0005963029218843172
-0.49,fr,1,1677.0,0.0005963029218843172
-0.48,fr,3,1677.0,0.0017889087656529517
-0.46,fr,18,1677.0,0.01073345259391771
-0.45,fr,1,1677.0,0.0005963029218843172
-0.44,fr,1,1677.0,0.0005963029218843172
-0.42,fr,4,1677.0,0.002385211687537269
-0.4,fr,3,1677.0,0.0017889087656529517
-0.39,fr,2,1677.0,0.0011926058437686344
